"Team","Project","Phase","Milestone","Old Date","New Date","Days Changed","Reason","Champion"
"Payments Platform & Risk","Adyen credit card payments extension in Core","Build","End Date","Dec 25, 2025","Mar 27, 2026","+92","Changing per Kelsey","Justin Lang"
"Payments Platform & Risk","USDC Cashback ","Build","Limited Release","Feb 16, 2026","Mar 20, 2026","+32","Legal has approved our TOS  which is one blocker down. We are still blocked on  1. The funding amendment being signed by Coinbase 2. The Cashback campaigns being funded with USDC  which depends on the amendment being signed.","Maxim Piorischin"
"Payments Platform & Risk","USDC Cashback ","Build","End Date","Feb 25, 2026","Apr 10, 2026","+44","Legal has approved our TOS  which is one blocker down. We are still blocked on  1. The funding amendment being signed by Coinbase 2. The Cashback campaigns being funded with USDC  which depends on the amendment being signed.","Maxim Piorischin"
"Payments Platform & Risk","Build agentic flow to detect deceptive commerce","Build","End Date","Jan 5, 2026","Apr 17, 2026","+102","Updating to reflect the releases:  1. Incremental flow over all new shops  2. Backfill for all active shops  3. Integrating with two Trust Platfrom queues (NITS and BBE queues) 3. Productionize snapshotting static shops from fraud queues","Mahtab Dhaliwal"
"Shop Wallet","Payment method unification","Build","Early Access","Mar 18, 2026","Mar 23, 2026","+5","Revising dates following consultation with LPM team on launch strategy. PayPal is dependent on Wallets team unifying the Pay Button  slated for ~ April 15.  | Tranche | Methods | Date | |---------|---------|------| | 1 | MobilePay  Bancontact  BLIK  Multibanco  EPS + manuals + COD | Mar 23 | | 2 | Swish | Mar 24 | | 3 | TWINT  P24 | Mar 25 | | 4 | Custom onsites | Mar 26 | | 5 | Offsites | Mar 27 | | Backend | `lastUsedAt` persistence | Mar 30 |","Jess Alves de Sa"
"Shop Wallet","Payment method unification","Build","Limited Release","Mar 16, 2026","Mar 23, 2026","+7","Revising dates following consultation with LPM team on launch strategy. PayPal is dependent on Wallets team unifying the Pay Button  slated for ~ April 15.  | Tranche | Methods | Date | |---------|---------|------| | 1 | MobilePay  Bancontact  BLIK  Multibanco  EPS + manuals + COD | Mar 23 | | 2 | Swish | Mar 24 | | 3 | TWINT  P24 | Mar 25 | | 4 | Custom onsites | Mar 26 | | 5 | Offsites | Mar 27 | | Backend | `lastUsedAt` persistence | Mar 30 |","Jess Alves de Sa"
"Shop Wallet","Payment method unification","Build","End Date","Mar 11, 2026","Apr 10, 2026","+30","We will roll out this work to buyers incrementally by payment method.  | Release | Payment methods | Date | |---|---|---| | 1 | Low-tier LPMs + manual payment methods | Mar 18 | | 2 | Mid-tier LPMs | Mar 19 | | 3 | Klarna | Mar 20 | | 4 | Custom onsites | Mar 21 | | 5 | Offsites | Mar 24 | | 6 | PayPal | Mar 25 | | Backend | lastUsedAt persistence | Mar 30 | | GA | All methods in Shop Pay | Mar 30 |","Jess Alves de Sa"
"Shop Wallet","Migrating Shop Pay Credit Cards to Global Vault","Build","Internal","Nov 14, 2025","Jan 23, 2026","+70","","Eduardo Jolo"
"Shop Wallet","Migrating Shop Pay Credit Cards to Global Vault","Build","General Availability","Feb 6, 2026","Apr 3, 2026","+56","Delays in the progressive rollout and the need to address data issues.","Eduardo Jolo"
"Shop Wallet","Migrating Shop Pay Credit Cards to Global Vault","Build","End Date","Dec 5, 2025","Apr 10, 2026","+126","Delays in the progressive rollout and the need to address data issues.","Eduardo Jolo"
"Cross Border","Improve Globale custom restriction review","Release","General Availability","Jan 19, 2026","Feb 27, 2026","+39","Global-e agreed to release today","Ben Kovacs"
"Cross Border","Improve Globale custom restriction review","Release","End Date","Dec 1, 2025","Mar 19, 2026","+108","Prioritized launch of other project vs wiriting a request to move to done","Ben Kovacs"
"Payments Merchant Experience","Unlock selling from multiple entities in a single country","Release","General Availability","Mar 4, 2026","Mar 20, 2026","+16","Pushing out a few more days -- only Lending are left to rollout their flag and test if everything is all good. This gives us time to clear a bug we also found on our end with the kafka consumer in profile assessment.","Haroon Ahmed"
"Payments Merchant Experience","Unlock selling from multiple entities in a single country","Release","End Date","Jan 28, 2026","Mar 20, 2026","+51","Pushing out a few more days -- only Lending are left to rollout their flag and test if everything is all good. This gives us time to clear a bug we also found on our end with the kafka consumer in profile assessment.","Haroon Ahmed"
"Payments Platform & Risk","Simplify Card Cashing Model to Enhance Merchant Fraud Detection","Release","End Date","Jan 27, 2026","Mar 20, 2026","+52","Watching metrics on Card cashing next couple of weeks to out out a Request to Done.","Sahil Batra"
"Payments Platform & Risk","Migrate Core Payment Methods to Global Vault","Release","Limited Release","Jan 12, 2026","Mar 24, 2026","+71","The early access release has uncovered some issues that we are needing to address before moving to a general release. These include; - Addresses do not get updated in the old system - Address validation is much looser   - Address country Country/region not supported caused by shipping validation being used in certain contexts - Missing zip codes in legacy system - Some Last names in legacy system containing emojis - Missing last name in legacy system - Address had different validator depending on the context - Shop pay revault was not saving payment instrument accessor - Credit Cards in the two systems have different ideas of what makes a unique card - Credit card mandate can be updated to paypal mandate  We are addressing these issues and releasing backfill tasks to correct data where possible","Harry Venables"
"Payments Platform & Risk","Migrate Core Payment Methods to Global Vault","Release","General Availability","Jan 30, 2026","Apr 7, 2026","+67","The early access release has uncovered some issues that we are needing to address before moving to a general release. These include; - Addresses do not get updated in the old system - Address validation is much looser   - Address country Country/region not supported caused by shipping validation being used in certain contexts - Missing zip codes in legacy system - Some Last names in legacy system containing emojis - Missing last name in legacy system - Address had different validator depending on the context - Shop pay revault was not saving payment instrument accessor - Credit Cards in the two systems have different ideas of what makes a unique card - Credit card mandate can be updated to paypal mandate  We are addressing these issues and releasing backfill tasks to correct data where possible","Harry Venables"
"Payments Platform & Risk","Migrate Core Payment Methods to Global Vault","Release","End Date","Feb 4, 2026","Apr 13, 2026","+68","Updating end date which was missed when I previously updated the dates","Harry Venables"
